"","id","status","p_value","morans_test_statistic","morans_I","gene_ids","feature_types","n_cells","mt","ribo","hb","n_cells_by_counts","mean_counts","pct_dropout_by_counts","total_counts","highly_variable","means","dispersions","dispersions_norm","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"1334","NR6A1","OK",0,116.687830608101,0.144782584593751,"NR6A1","Gene Expression",130230,FALSE,FALSE,FALSE,130230,1.22748494148254,52.0244906078813,333202,TRUE,0.493318068992041,1.10785898090714,1.38809907436371,"NR6A1",0,"8","1",2.46542872038067,0.784088604339113
"1335","NRG2","OK",1.71993209505831e-106,21.8872025495753,0.0271333181462475,"NRG2","Gene Expression",16641,FALSE,FALSE,FALSE,16641,0.0827700048685074,93.8696118268122,22468,TRUE,0.0943607853399692,1.53668205522796,1.545778632164,"NRG2",2.18158154966617e-106,"4","1",-3.84289251718342,-1.97544822823192
"1336","NRGN","OK",0,253.683418247168,0.314785998069201,"NRGN","Gene Expression",95684,FALSE,FALSE,FALSE,95684,1.16739666461945,64.7509126877411,316891,TRUE,0.31639627794319,1.52777057796322,2.52383303642273,"NRGN",0,"1","1",0.19062508192242,4.3801127897582
"1337","NRIP1","OK",0,333.693391216433,0.414070614474103,"NRIP1","Gene Expression",194097,FALSE,FALSE,FALSE,194097,3.16310119628906,28.4964873955152,858627,TRUE,0.934527468067491,1.65559881951296,1.39581918716431,"NRIP1",0,"5","1",2.18550528135479,2.33131065238332
"1338","NRP1","OK",0,198.53740606984,0.246335715146191,"NRP1","Gene Expression",43905,FALSE,FALSE,FALSE,43905,0.30656361579895,83.8258101830533,83217,TRUE,0.231561652971027,1.45145557900272,1.41951894760132,"NRP1",0,"10","1",-2.20850049409687,-0.446634270063887
"1339","NSMCE2","OK",0,90.6626946228365,0.112486933569706,"NSMCE2","Gene Expression",166298,FALSE,FALSE,FALSE,166298,1.52034068107605,38.7373780166586,412698,TRUE,0.643714986845771,0.966577049045621,0.610719382762909,"NSMCE2",0,"3","1",1.43704546537579,-2.74616131912852
"1340","NSUN6","OK",5.461791207687e-214,31.199201187467,0.0386960853450688,"NSUN6","Gene Expression",97033,FALSE,FALSE,FALSE,97033,0.678973376750946,64.2539537522426,184308,TRUE,0.317796469713621,1.09145447893284,1.34372985363007,"NSUN6",7.71163474039276e-214,"3","1",1.39996613111676,-2.93086466919566
"1341","NT5C2","OK",0,74.9068680275982,0.0929346643376748,"NT5C2","Gene Expression",187917,FALSE,FALSE,FALSE,187917,1.83379316329956,30.7731413772651,497785,TRUE,0.793973299450619,0.97671500598447,0.633454263210297,"NT5C2",0,"2","1",0.722232232953914,0.252132468112459
"1342","NTRK1","OK",0,218.886296875735,0.27152771321258,"NTRK1","Gene Expression",3823,FALSE,FALSE,FALSE,3823,0.0182758588343859,98.5916426905777,4961,TRUE,0.0245934307998664,1.30630584168195,1.20448541641235,"NTRK1",0,"12","1",-5.1484073296529,-1.26197931896831
"1343","NUAK2","OK",1.27829977343788e-11,6.67008233465337,0.00825111152936504,"NUAK2","Gene Expression",6084,FALSE,FALSE,FALSE,6084,0.0238717123866081,97.7587115169957,6480,TRUE,0.0196515239346741,0.83141840609723,0.500958323478699,"NUAK2",1.39988267359145e-11,"6","1",-0.228604902361027,3.95279326308583
"1344","NUBPL","OK",0,69.4254073054306,0.0861319595064088,"NUBPL","Gene Expression",107573,FALSE,FALSE,FALSE,107573,0.858165919780731,60.371116702462,232950,TRUE,0.391942281250599,0.946505740826425,0.951687335968018,"NUBPL",0,"9","1",0.452247510816463,-3.07169637810374
