"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"526","MPP.5","CC","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","9/1065","29/9500",0.00337528301561957,0.0273206870509584,0.0230605234830811,"718006/715650/717164/700589/700382/697324/707259/699504/714274",9
"527","MPP.5","CC","GO:0061695","transferase complex, transferring phosphorus-containing groups","32/1065","176/9500",0.00377789942051808,0.0300133120630047,0.0253332826639029,"718006/715650/717164/710253/700100/716541/700589/100423709/707526/712412/693601/708029/710562/699763/700382/697324/712921/707259/705074/718548/106997590/699945/699566/701181/699504/700770/702529/714285/100429040/705468/714558/714274",32
"528","MPP.5","CC","GO:1902555","endoribonuclease complex","7/1065","20/9500",0.00453163325915064,0.0347155476459933,0.0293022902471395,"712859/697559/715453/713056/706788/703294/100425351",7
"529","MPP.5","CC","GO:1905348","endonuclease complex","7/1065","20/9500",0.00453163325915064,0.0347155476459933,0.0293022902471395,"712859/697559/715453/713056/706788/703294/100425351",7
"530","MPP.5","CC","GO:0005840","ribosome","35/1065","200/9500",0.00479933537134552,0.0361213135843373,0.0304888525898958,"697086/714438/715100/717038/718640/106992264/695815/717998/719413/702629/701827/702952/701533/702487/702151/708818/703261/697743/713412/106997168/702768/714094/707384/695310/706805/715453/711629/100430880/706322/702994/695196/703678/703230/711081/698602",35
"531","MPP.5","CC","GO:0098800","inner mitochondrial membrane protein complex","19/1065","92/9500",0.00586670747799598,0.0433934053113841,0.0366269940550022,"697950/702893/699334/641333/710845/704867/694581/693431/711970/698137/705930/698144/100428450/700338/709772/713040/697156/707001/699580",19
"532","MPP.5","MF","GO:0140657","ATP-dependent activity","68/989","285/8759",8.6346502267396e-10,5.52617614511334e-07,5.15352281953826e-07,"717548/710766/708320/710888/714686/708579/707989/701598/707651/100426721/702520/714220/713271/709328/708431/715701/694166/700707/704478/693548/698024/705381/677711/695574/699516/717918/706401/706157/710718/694906/711026/695123/699570/713356/702500/699174/714506/702615/712141/701030/574279/721956/694401/100428794/696640/705808/695229/706234/717100/715453/710368/705871/716170/707715/698782/706050/712525/696429/710143/718665/721601/700203/714341/654490/715849/701136/707709/708058",68
"533","MPP.5","MF","GO:0016853","isomerase activity","32/989","98/8759",1.23026094489225e-08,3.93683502365519e-06,3.67135766186265e-06,"574137/574298/714090/700707/719487/697669/706211/708481/710553/697949/718532/720759/711095/714702/719873/706757/702128/719054/720586/695213/717805/707881/703036/709716/702563/700830/718957/703299/700998/715226/709898/703973",32
"534","MPP.5","MF","GO:0140097","catalytic activity, acting on DNA","30/989","101/8759",3.72261402509362e-07,7.9415765868664e-05,7.40604263939679e-05,"710766/718006/714686/708579/701598/707651/100426721/722348/702520/714220/715701/694166/700707/699763/707742/699516/100429168/702084/697566/574279/694401/100428794/696467/715453/705651/698252/698782/700830/709225/718665",30
"535","MPP.5","MF","GO:0003697","single-stranded DNA binding","17/989","46/8759",4.95607082468313e-06,0.000792971331949301,0.000739497936209298,"717548/710766/708320/714686/696248/708579/707651/697057/704708/699570/703524/702615/715453/716170/700830/700757/709060",17
"536","MPP.5","MF","GO:0008094","ATP-dependent activity, acting on DNA","18/989","52/8759",7.67447759264463e-06,0.000906607669659532,0.000845471297198939,"710766/714686/708579/701598/707651/100426721/702520/714220/715701/694166/700707/699516/574279/694401/100428794/715453/698782/718665",18
"537","MPP.5","MF","GO:0016859","cis-trans isomerase activity","13/989","30/8759",8.49944690305811e-06,0.000906607669659532,0.000845471297198939,"574137/697669/708481/720759/711095/706757/702128/717805/707881/718957/703299/700998/703973",13
"538","MPP.5","MF","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","12/989","27/8759",1.38558572431182e-05,0.00111042989188905,0.00103554892878469,"574137/697669/708481/720759/711095/706757/717805/707881/718957/703299/700998/703973",12
"539","MPP.5","MF","GO:0016887","ATP hydrolysis activity","34/989","142/8759",1.38803736486131e-05,0.00111042989188905,0.00103554892878469,"710888/707989/100426721/713271/709328/708431/694166/704478/693548/705381/677711/706157/710718/694906/695123/699570/713356/702500/714506/702615/694401/696640/695229/706234/717100/715453/710368/698782/700203/714341/654490/701136/707709/708058",34
"540","MPP.5","MF","GO:0140640","catalytic activity, acting on a nucleic acid","60/989","316/8759",2.9617539101001e-05,0.00210613611384896,0.00196411048775059,"717548/710766/708320/718006/710888/714686/708579/701598/707651/100426721/722348/716701/702520/714220/710253/715701/694166/700707/100423709/712412/699763/707742/699516/100429168/702084/711026/697566/712141/106997590/574279/694401/100428794/712859/696467/697559/699566/701181/715453/695566/713056/696072/705651/705871/698252/698782/711736/700830/709225/712525/717258/715662/700895/706788/718665/716219/699381/712172/708908/715849/709060",60
"541","MPP.5","MF","GO:0140662","ATP-dependent protein folding chaperone","11/989","26/8759",5.57408625959804e-05,0.00356741520614275,0.00332684937809694,"707989/708431/698024/706157/702500/714506/721956/696640/706234/707715/710143",11
"542","MPP.5","MF","GO:0003678","DNA helicase activity","10/989","23/8759",9.24776415499492e-05,0.0053805173265425,0.00501768638840394,"710766/714686/707651/100426721/702520/714220/694166/574279/694401/715453",10
"543","MPP.5","MF","GO:0017056","structural constituent of nuclear pore","7/989","12/8759",0.000108669432313071,0.00579570305669714,0.00540487439662381,"700488/100426308/718214/100426110/710084/703600/705628",7
"544","MPP.5","MF","GO:0016209","antioxidant activity","12/989","33/8759",0.000148407454455307,0.00693746123208177,0.00646963901083941,"706142/718370/701652/697635/719764/708377/574096/706486/716665/712910/716078/714997",12
"545","MPP.5","MF","GO:0004536","DNA nuclease activity","9/989","20/8759",0.000151756964451789,0.00693746123208177,0.00646963901083941,"722348/707742/100429168/702084/697566/694401/696467/698252/709225",9
"546","MPP.5","MF","GO:0044183","protein folding chaperone","13/989","40/8759",0.000290175072618958,0.0123731415074878,0.0115387684782,"707989/708431/698024/706157/702500/714506/721956/696640/713266/706234/707715/710143/702678",13
"547","MPP.5","MF","GO:0016829","lyase activity","26/989","114/8759",0.000320143855025086,0.0123731415074878,0.0115387684782,"714090/709378/100427277/695625/709590/708377/707542/697949/715708/702084/700414/709875/701427/715664/709259/697333/696865/695547/100423684/700635/721589/709213/712172/714922/696664/704971",26
"548","MPP.5","MF","GO:0004518","nuclease activity","24/989","102/8759",0.000328661571292645,0.0123731415074878,0.0115387684782,"722348/716701/707742/699692/100429168/702084/677718/697566/694401/712859/717481/696467/697559/702604/713056/696072/698252/709225/706788/699381/699210/712172/708908/709060",24
"549","MPP.5","MF","GO:0004386","helicase activity","20/989","81/8759",0.000520606556330739,0.018510455336204,0.0172622173941245,"717548/710766/708320/710888/714686/701598/707651/100426721/702520/714220/694166/711026/712141/574279/694401/100428794/715453/705871/712525/715849",20
