"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"129","Adult_BM","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","13/517","79/8716",0.000689720356006164,0.0319124343823748,0.0279572430242876,"574296/697017/704310/712799/716452/717204/694037/694750/702103/710643/695567/699955/613032",13
"130","Adult_BM","BP","GO:0009968","negative regulation of signal transduction","47/517","492/8716",0.000719815894257015,0.0328151363558345,0.0287480651266733,"574293/702981/613025/697077/693359/710591/715615/712799/694625/700690/707539/574097/710832/710188/613028/698954/707336/100430739/699309/721324/695590/717204/706873/697134/703669/704130/100428720/703752/718616/716098/716990/702103/700942/717703/699329/705774/708907/696747/701278/714451/713924/712803/695652/703997/714490/705056/705146",47
"131","Adult_BM","BP","GO:1902533","positive regulation of intracellular signal transduction","37/517","361/8716",0.000739817733074636,0.033238188007701,0.0291186842308553,"707158/695091/574296/697017/716937/718387/704310/710591/712799/707539/716452/703281/100430739/717204/698160/711879/707996/694037/707749/694750/716098/714740/702103/710441/695796/707540/710643/717994/695567/710796/694915/699955/714717/693961/714728/613032/717751",37
"132","Adult_BM","BP","GO:0071216","cellular response to biotic stimulus","14/517","90/8716",0.000778666296467893,0.0340194614775633,0.0298031275423135,"695091/574296/722000/613028/699309/706255/704130/716003/707876/695567/710796/710324/711115/696778",14
"133","Adult_BM","BP","GO:1903510","mucopolysaccharide metabolic process","9/517","43/8716",0.000779155408034515,0.0340194614775633,0.0298031275423135,"697017/700690/705964/703703/717204/704326/718187/700892/710324",9
"134","Adult_BM","BP","GO:0048145","regulation of fibroblast proliferation","8/517","35/8716",0.000821407591936715,0.0353661602083863,0.0309829179414726,"613025/693532/716452/702502/696712/700632/710441/719199",8
"135","Adult_BM","BP","GO:0032101","regulation of response to external stimulus","39/517","390/8716",0.000863547581446475,0.0366711986641654,0.0321262113933945,"711776/702981/695091/613025/574296/716937/722000/574360/713737/715615/713885/704787/613028/702743/698160/711355/706255/704130/702502/702990/707749/700732/574378/714740/693567/710441/717994/719350/701278/695567/710324/694915/699955/701624/693961/695652/711115/696778/705056",39
"136","Adult_BM","BP","GO:1901701","cellular response to oxygen-containing compound","40/517","404/8716",0.00090242483331922,0.0378042835579673,0.0331188630151293,"702077/695091/700585/613025/574296/697077/715896/716937/718387/704310/722000/716452/701652/574263/613028/699309/703669/706255/704130/716003/710036/700632/710441/713082/706198/716134/705680/717703/707876/574198/699329/719350/695567/710324/697986/720180/717751/711115/696778/106994863",40
"137","Adult_BM","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","20/517","157/8716",0.000951829123189352,0.0383565041899427,0.0336026420407648,"702077/695091/697826/700690/708839/716452/694022/100430739/703088/721324/706873/711355/718616/702103/707540/707191/700068/714451/713924/715710",20
"138","Adult_BM","BP","GO:0150063","visual system development","20/517","157/8716",0.000951829123189352,0.0383565041899427,0.0336026420407648,"695091/716452/706549/697685/694022/100430739/703088/721324/711691/711355/710036/716990/702103/714731/711973/707540/695537/710796/694416/714451",20
"139","Adult_BM","BP","GO:0006022","aminoglycan metabolic process","10/517","53/8716",0.000953543934639246,0.0383565041899427,0.0336026420407648,"697017/700690/705964/703703/717204/704326/718187/700892/710324/715229",10
"140","Adult_BM","BP","GO:0071356","cellular response to tumor necrosis factor","14/517","92/8716",0.000973393781989804,0.0383565041899427,0.0336026420407648,"722000/710591/693917/613028/698160/711879/707749/700942/710441/696747/710324/699955/693961/695652",14
